Cluster ID,Tier,Size,Min Altitude (km),Max Altitude (km)
525,Major,29,355.5323634579023,355.98361413487606
348,Major,27,489.4262506528916,559.5243802075983
55,Major,22,547.6210183999399,573.1609596693413
495,Major,22,319.05410537048334,319.8610196221145
538,Major,21,547.7052350638639,548.9454616037458
929,Major,21,398.13494585014973,398.5869353285814
340,Major,20,556.7172086841817,559.8252662664876
1660,Major,20,454.94077681292316,484.5969667588426
8,Minor,19,580.8741996169696,581.4785578438918
190,Minor,18,562.2032025777557,581.3925942951832
826,Minor,18,566.58720967016,567.9111410922465
441,Minor,17,483.02426825168726,483.4261748741688
293,Minor,16,556.9691302657882,558.3367005107822
110,Minor,16,580.2888488739794,581.9194806187609
399,Minor,16,390.47082962042373,555.5714362222785
785,Minor,16,476.34283079331556,491.45878685508853
339,Minor,15,405.8654254127564,454.3113639226919
1812,Minor,15,482.68534340816365,484.31215197017883
359,Minor,15,557.3005894210227,557.8968859028099
664,Minor,15,490.72208226300313,493.09494098459186
150,Minor,15,557.6223672220353,558.4721518529765
452,Minor,14,483.04981209175384,483.69362198968605
221,Minor,14,557.8280847150246,558.8247377005313
447,Minor,14,310.41923304494566,492.0287674245387
303,Minor,14,557.0360167466681,557.8668891334534
1599,Minor,14,512.9806363618989,538.1436760240867
138,Minor,14,557.6535572640719,558.6049094022233
1160,Minor,13,483.12005977584516,483.7814399221335
96,Minor,13,447.0297823943775,448.1219414344635
971,Minor,13,566.5386713640942,567.3438784082839
250,Minor,13,580.0724224968869,591.2042048740927
1667,Minor,13,547.326364167911,548.2908192216549
219,Minor,13,557.4615601676264,560.1462970210379
228,Minor,13,580.7485045632254,586.2258032857236
1308,Minor,13,451.3623577979067,493.0740999355158
1487,Minor,13,483.45455532715283,486.11179027520956
519,Minor,13,490.67975926307685,492.93964865488465
570,Minor,13,566.7662706314326,567.4083749734881
139,Minor,12,404.4930017556725,696.1541040906832
1480,Minor,12,417.2959987653233,548.0956216184264
1497,Minor,12,469.18348524229975,483.7066723360615
459,Minor,12,490.58961710842044,492.13912110115683
589,Minor,12,519.630136463495,555.4154549810319
808,Minor,12,545.4364529660326,548.1024456345663
726,Minor,12,367.64513532615825,368.4312838704493
97,Minor,12,446.98089072096906,448.35896542982664
89,Minor,12,557.4993801899739,558.5039557669032
918,Minor,12,451.62084951239547,453.1013694058647
959,Minor,12,401.2662660165532,639.7712296788274
1479,Minor,12,367.04722917865496,368.8153287162641
